time,rfon,pwr,alt
103.70224380493164 ,1, -24 , 1997.73
104.66848230361938 ,1, -24 , 1994.2400000000002
105.63465094566345 ,1, -24 , 1993.756666666667
106.60130167007446 ,1, -24 , 1996.5433333333333
107.56775188446045 ,1, -24 , 1994.9066666666663
108.53588557243347 ,1, -24 , 1993.2233333333336
109.50069880485535 ,1, -24 , 1998.2099999999996
110.46747350692749 ,1, -24 , 1992.063333333333
111.43485450744629 ,1, -24 , 1994.6866666666665
112.40057873725891 ,1, -24 , 1996.0266666666666
113.36680555343628 ,1, -24 , 1991.813333333333
114.33512926101685 ,1, -24 , 1994.5199999999995
115.30618715286255 ,0, -35 , 1998.1433333333332
115.78654646873474 ,0, -35 , 1994.5166666666664
116.26631093025208 ,0, -35 , 1993.3299999999997
116.74896502494812 ,0, -35 , 1997.633333333333
117.23400020599365 ,0, -35 , 1992.93
117.71575450897217 ,0, -35 , 1994.0233333333335
118.19847583770752 ,0, -35 , 1994.3899999999999
118.68330121040344 ,0, -35 , 1991.5799999999997
119.16560769081116 ,0, -35 , 1995.2433333333336
119.64940905570984 ,0, -35 , 1994.95
120.13360643386841 ,0, -35 , 1991.8966666666668
120.61530423164368 ,0, -35 , 1995.28
121.09804916381836 ,0, -35 , 1992.26
121.58248972892761 ,0, -35 , 1989.5800000000002
122.06554102897644 ,0, -35 , 1994.5866666666668
122.54942226409912 ,0, -35 , 1994.3566666666666
123.03191089630127 ,0, -35 , 1993.01
123.51474046707153 ,0, -35 , 1992.0066666666667
123.99932646751404 ,0, -35 , 1993.1099999999997
124.48181700706482 ,0, -35 , 1990.3033333333333
124.9652488231659 ,0, -35 , 1994.583333333333
127.46196866035461 ,1, -23 , 1994.4699999999998
128.34796023368835 ,1, -23 , 1993.37
129.3134310245514 ,1, -23 , 1998.0
130.28094029426575 ,1, -23 , 1992.9833333333331
131.24634766578674 ,1, -23 , 1992.37
132.21336364746094 ,1, -23 , 1994.6433333333332
133.18080925941467 ,1, -23 , 1994.4566666666663
134.14613127708435 ,1, -23 , 1991.8666666666668
135.11325907707214 ,1, -23 , 1999.0999999999997
136.07950735092163 ,1, -23 , 1996.1200000000001
137.04633450508118 ,1, -23 , 1994.3866666666665
138.0153362751007 ,1, -23 , 1995.7433333333333
138.97912406921387 ,1, -23 , 1997.0566666666666
139.9495542049408 ,1, -23 , 1993.3333333333335
140.91190838813782 ,1, -23 , 1995.333333333333
141.87878584861755 ,1, -23 , 1997.1766666666663
142.84546065330505 ,1, -23 , 1992.1099999999997
143.8111011981964 ,1, -23 , 1992.49
144.7777726650238 ,1, -23 , 1998.36
145.74567222595215 ,1, -23 , 1993.8566666666666
146.7103626728058 ,1, -23 , 1990.6333333333332
147.6822714805603 ,0, -35 , 1995.943333333333
148.16163778305054 ,0, -35 , 1991.6833333333332
148.64390516281128 ,0, -35 , 1994.9566666666663
149.12712860107422 ,0, -35 , 1998.9033333333334
149.61051225662231 ,0, -35 , 1995.6466666666663
150.0934009552002 ,0, -35 , 1998.5133333333333
150.57654643058777 ,0, -35 , 1994.4333333333334
151.0605914592743 ,0, -35 , 1990.903333333333
151.54333686828613 ,0, -35 , 1993.3833333333332
152.0266809463501 ,0, -35 , 1997.1333333333334
152.50957870483398 ,0, -35 , 1989.343333333333
152.99318742752075 ,0, -35 , 1995.0766666666666
153.4780604839325 ,0, -35 , 1995.8433333333332
153.95945620536804 ,0, -35 , 1991.6333333333334
154.4428424835205 ,0, -35 , 1997.8199999999997
154.93021965026855 ,0, -35 , 1994.6666666666665
155.4096372127533 ,0, -35 , 1991.4266666666667
155.8924741744995 ,0, -35 , 1992.7366666666665
156.3769392967224 ,0, -35 , 1993.8333333333335
156.85932302474976 ,0, -35 , 1992.4966666666667
157.34257912635803 ,0, -35 , 1996.7266666666667
159.84036493301392 ,1, -22 , 1993.1466666666668
160.72497391700745 ,1, -22 , 1994.7133333333334
161.69166374206543 ,1, -22 , 1996.313333333333
162.65958976745605 ,1, -22 , 1998.5066666666664
163.6244490146637 ,1, -22 , 1993.79
164.59065175056458 ,1, -22 , 1999.2633333333333
165.55827498435974 ,1, -22 , 1993.7999999999995
166.52413702011108 ,1, -22 , 1992.7666666666664
167.49083995819092 ,1, -22 , 1995.1366666666665
168.45737385749817 ,1, -22 , 1994.26
169.42473006248474 ,1, -22 , 1993.9133333333334
170.3902235031128 ,1, -22 , 1998.0699999999995
171.35655403137207 ,1, -22 , 1995.9833333333331
172.32396960258484 ,1, -22 , 1993.88
173.28925204277039 ,1, -22 , 1997.9099999999999
174.25623679161072 ,1, -22 , 1997.2099999999998
175.2236292362213 ,1, -22 , 1995.2399999999998
176.18914127349854 ,1, -22 , 1993.2966666666664
177.15512919425964 ,1, -22 , 1997.6299999999999
178.1224126815796 ,1, -22 , 1995.7166666666667
179.08937096595764 ,1, -22 , 1996.813333333333
180.0594801902771 ,0, -35 , 1998.6666666666667
180.53926944732666 ,0, -35 , 1989.8999999999999
181.02170372009277 ,0, -35 , 1993.4966666666664
181.50445938110352 ,0, -35 , 1998.3766666666666
181.98737454414368 ,0, -35 , 1991.7499999999998
182.47133231163025 ,0, -35 , 1993.1633333333334
182.95534229278564 ,0, -35 , 1995.0466666666664
183.43823313713074 ,0, -35 , 1989.6966666666665
183.92051458358765 ,0, -35 , 1994.1833333333332
184.40507984161377 ,0, -35 , 1998.003333333333
184.88701486587524 ,0, -35 , 1993.173333333333
185.37017011642456 ,0, -35 , 1994.7266666666667
185.8544557094574 ,0, -35 , 1996.7966666666666
186.33692979812622 ,0, -35 , 1992.3833333333334
186.82045698165894 ,0, -35 , 1995.9899999999998
187.30344462394714 ,0, -35 , 1997.2266666666662
187.78694677352905 ,0, -35 , 1993.0466666666664
188.27125072479248 ,0, -35 , 1995.6699999999998
188.7537076473236 ,0, -35 , 1993.9666666666665
189.2360646724701 ,0, -35 , 1990.82
189.7193784713745 ,0, -35 , 1995.1366666666665
192.21737504005432 ,1, -21 , 1995.8366666666668
193.1029794216156 ,1, -21 , 1996.4366666666667
194.0690565109253 ,1, -21 , 1999.1766666666663
195.03596949577332 ,1, -21 , 1998.81
196.0015082359314 ,1, -21 , 1999.9899999999998
196.96850109100342 ,1, -21 , 1997.8799999999997
197.93519592285156 ,1, -21 , 1994.2666666666664
198.9023871421814 ,1, -21 , 1992.2700000000002
199.8682382106781 ,1, -21 , 1999.103333333333
200.83442449569702 ,1, -21 , 1999.1599999999999
201.8023717403412 ,1, -21 , 1995.0133333333333
202.76732802391052 ,1, -21 , 1999.8166666666666
203.73349905014038 ,1, -21 , 1996.313333333333
204.70013666152954 ,1, -21 , 1994.6566666666665
205.6667845249176 ,1, -21 , 1998.9866666666665
206.63304448127747 ,1, -21 , 1996.9533333333331
207.60026574134827 ,1, -21 , 1994.9699999999998
208.5671350955963 ,1, -21 , 1996.1233333333332
209.5325334072113 ,1, -21 , 2000.8600000000001
210.49894523620605 ,1, -21 , 1993.426666666667
211.4658486843109 ,1, -21 , 1996.7566666666662
212.43930625915527 ,0, -35 , 1996.18
212.9158296585083 ,0, -35 , 1991.2666666666662
213.39872932434082 ,0, -35 , 1989.7466666666664
213.88180303573608 ,0, -35 , 1994.8466666666664
214.36560678482056 ,0, -35 , 1990.9133333333334
214.84871435165405 ,0, -35 , 1992.9999999999998
